bigram,PaperID,reuse
ecg_signal,2320129892,1
university_student,4249403734,1
asian_language,4249403734,1
language_understanding,2091014931,1
grammar_induction,2029819673,1
annotation_task,2029819673,1
textual_annotation,2029819673,1
annotation_schema,2029819673,1
project_ha,2029819673,1
user_preference,2153979191,3
textual_information,2153979191,3
user_interface,2153979191,2
pareto_optimal,2035609946,1
computational_effort,2035609946,3
user_query,1811040126,3
shooting_algorithm,2314363820,1
composite_adjoints,2314363820,1
dynamic_optimization,2314363820,2
multiple_shooting,2314363820,1
information_seeking,4246659552,2
training_corpus,155336309,1
link_bandwidth,2107701604,1
extracting_semantic,1987418197,1
owl_ontology,2012221043,1
issue_associated,2110710657,1
text_annotation,2148670380,1
domain_ontology,2148670380,2
automatically_build,2148670380,1
semantic_annotation,2148670380,3
unstructured_text,2148670380,4
protein_interaction,2171016843,1
user_experience,1991197733,1
background_domain,2014761790,1
domain_knowledge,2014761790,3
database_schema,2014761790,1
data_source,2014761790,4
semantic_query,2146842426,1
learning_framework,2039646365,1
latent_semantic,2086083453,4
legal_information,4233996482,1
medical_domain,2079716388,1
protein_structure,2074133193,1
structure_information,2074133193,1
computational_linguistics,2913467383,1
distributed_client-server,4237178566,1
distributed_user,4237178566,1
detailed_user,4237178566,1
personalized_delivery,4237178566,1
server_followed,4237178566,1
mobile_user,4237178566,1
skeleton_profile,4237178566,1
data_collected,4237178566,1
textual_news,4237178566,1
personalized_news,4237178566,2
explicit_user,4237178566,1
nonlinear_optimization,2067971429,1
challenging_task,2067971429,1
wastewater_treatment,1997762921,1
two-stage_stochastic,1997762921,1
stochastic_programming,1997762921,1
water_network,1997762921,1
life_cycle,2091691389,1
mixed-integer_nonlinear,2091691389,2
water-using_network,2051925924,1
program_nlp,2051925924,1
global_optimal,2051925924,2
reverse_engineering,1996134788,1
news_portal,2065373019,1
text_labeling,2065373019,1
experimental_work,4242216182,1
help_student,2152424567,1
help_researcher,2109591242,1
information_ha,2105283388,2
linear_programming,2085236271,4
optimization_framework,2085236271,1
image_caption,2093961544,2
area_ha,2093961544,1
supervised_machine,2093961544,1
supply_chain,2168741237,1
textual_entailment,64490852,2
text_fragment,1977284199,1
computational_complexity,2067147076,1
state_constraint,2158543184,1
recognition_task,2054092228,1
automatic_acquisition,2054092228,1
temporal_expression,2054092228,1
conceptual_graph,2153549823,2
software_package,2004655250,1
ontology_learning,2146010077,1
biomedical_ontology,2146010077,1
language_resource,2146010077,1
mining_biotm,1968102155,1
biomedical_text,1968102155,1
programming_milp,2048330356,1
global_optimum,2048330356,1
correct_annotation,2124099955,1
low-level_visual,2156613792,1
proposed_categorization,2156613792,1
draw_attention,2161580566,1
semantic_search,2166164851,1
integer_linear,1979702444,1
european_parliamentary,2127540288,1
semantic_gap,2170064493,1
information_science,2045770122,1
indexing_lsi,2129305264,1
clinical_information,2154407993,1
visual_information,2123841154,1
proposed_framework,2123841154,1
nlp_framework,2123841154,1
image_retrieval,2123841154,1
control_nmpc,2083401763,2
simulated_industrial,2083401763,1
ontological_framework,2116920598,1
query_language,2022229384,1
lexical_semantic,2118707092,1
